Name of District,Name of Province,Name of Division,Total Tehsils,Total Number of Settlements,Total Villages,Settlement_Index,Agriculture_Livestock_Index,Housing_Amenities_Index,Infrastructure_Services_Index,Education_Index,Health_Index,Recreation_Sports_Index,Social_Community_Index,Industry_Index,Credit_Finance_Index,Disaster_Resilience_Index
BANNU DISTRICT,KHYBER PAKHTUNKHWA,BANNU DIVISION,5,1719,398,41.48166769975925,34.08956351493496,57.31971464544095,53.29497341760695,66.39996772465211,60.546464263246826,2.8255015623289226,5.583602656444413,8.274818840365592,70.92477131990701,12.349861807195433
LAKKI MARWAT DISTRICT,KHYBER PAKHTUNKHWA,BANNU DIVISION,3,429,213,22.77742133746169,28.54438763179462,56.26996765013913,51.863136482216234,69.89305700041739,60.93292930848621,7.918214894584919,4.353199573730383,6.435227632084926,68.69903473034557,24.759220287810663
DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN DIVISION,6,1152,424,43.53958258900904,33.82048540051038,53.50580597320742,51.233500080829984,64.66847479566312,56.41005121111685,6.347836327717104,3.2243499446315487,23.96705346289435,57.45276348651123,8.801282691234686
TANK DISTRICT,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN DIVISION,2,251,100,19.39033537689881,26.35339479292172,49.62193258760807,51.874075343196566,70.49560133578585,59.66041244995556,3.241163582873775,4.744755238801739,2.70291259189907,61.826070758388894,29.384785413470453
ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,4,1594,344,37.33376910465663,27.231376147785124,67.52051129048274,59.69661231592613,71.56283308579965,60.83461877818183,3.5045682624013232,2.871437002442651,5.448234045371068,60.139757864333866,5.384134319026006
BATAGRAM DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,2,586,104,16.29290278436688,23.878788391319254,57.718791175706606,55.65975766756331,69.4895470009333,56.49784769096926,0.23164940164966435,10.319260684822963,1.1268068543805763,57.06910328251805,1.4264401005786225
HARIPUR DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,3,1308,352,31.835522810153456,31.934885510662838,68.46481175379594,62.76845441962393,66.4676676982812,56.27704547238842,6.33852685883524,5.601421665777434,12.46582098743166,60.34741600058431,2.470934972901423
MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,5,1682,391,41.3666260625812,31.221446817598995,65.04072096702083,61.71195185764269,72.15461656070184,61.28628891811007,1.2179875207718933,5.647661863075657,2.9484498093012403,60.69890313338371,0.6635077336867256
TORGHAR DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,2,301,97,20.553737878985366,23.2430065046289,31.439929477774115,40.48575512946724,47.63102295740772,41.10721822498052,1.5733854990879543,4.439309890959096,2.4671139055097204,98.08431906841778,29.86103233142679
HANGU DISTRICT,KHYBER PAKHTUNKHWA,KOHAT DIVISION,2,195,49,15.370373045351673,23.02440528603161,71.71721903426605,68.74737496419411,74.21027904858146,65.0319362140655,18.05777488005447,4.3005088357795405,2.628104779443292,83.17406758933025,27.53808931158874
